# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = regression1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = regr1.data.R
# init = 2 (Default)
# random
#   seed = 2172945814
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.277341
# Diagonal elements of inverse mass matrix:
# 0.000980401, 3.72461e-05, 0.87569
36.6379,0.997561,0.277341,3,7,0,-36.2635,5.00748,10.0017,0.0015726
38.119,0.982967,0.277341,3,9,0,-35.8958,5.0084,10.0018,0.00815745
37.3471,0.903209,0.277341,3,15,0,-36.8619,5.02705,9.99943,0.0119357
38.0989,0.919669,0.277341,3,15,0,-35.8843,5.02937,9.99396,0.0140253
38.1722,0.957243,0.277341,2,3,0,-37.2591,5.03082,9.99497,0.0103982
38.3548,0.96099,0.277341,4,15,0,-36.9536,4.99413,10.0006,0.0623512
34.3944,0.777655,0.277341,2,3,0,-32.2249,4.98776,9.99989,0.134013
36.1037,1,0.277341,2,3,0,-34.0337,4.99039,9.99818,0.101396
36.2753,1,0.277341,2,3,0,-35.9307,4.99028,9.99796,0.0975066
36.4748,0.982371,0.277341,2,3,0,-35.3453,4.98361,9.99664,0.0805386
37.406,0.964738,0.277341,3,11,0,-34.9033,5.035,9.99237,0.015734
38.1587,0.989859,0.277341,3,15,0,-36.6074,5.02457,9.99887,0.0114688
37.9821,0.993881,0.277341,3,7,0,-37.1641,4.99635,9.99875,0.00831762
37.1975,0.991648,0.277341,4,19,0,-37.1098,5.00071,9.99793,0.00426519
38.4545,0.990291,0.277341,3,15,0,-37.4134,4.99894,10.0013,0.0046705
39.5763,0.97816,0.277341,4,15,0,-38.0181,5.01182,9.99771,0.023621
36.6501,0.46645,0.277341,2,3,0,-35.6261,5.02278,10.0016,0.019869
35.948,0.987191,0.277341,3,15,0,-35.7776,5.04689,9.99784,0.0737787
35.9122,0.950863,0.277341,3,11,0,-34.8287,5.03665,9.99852,0.0893342
34.7073,0.807859,0.277341,2,3,0,-31.1542,5.03619,10.0021,0.0758137
34.7171,1,0.277341,2,3,0,-33.601,5.02423,10.0028,0.103596
38.1192,0.921164,0.277341,4,15,0,-34.7517,5.03215,9.99435,0.0120165
38.9725,0.889912,0.277341,4,15,0,-37.346,5.01276,9.99619,0.0433779
36.8046,0.996608,0.277341,3,15,0,-36.6142,5.06934,9.98918,0.0348091
37.4975,0.845226,0.277341,3,15,0,-33.3674,5.03904,9.99382,0.0102072
38.0595,0.974289,0.277341,3,7,0,-36.9779,4.99834,9.99921,0.0682275
36.4412,0.9563,0.277341,4,15,0,-35.6867,4.9793,10.0055,0.00212962
35.939,0.818218,0.277341,1,1,0,-35.8719,4.98146,10.0062,0.00217917
36.2423,0.956672,0.277341,3,7,0,-35.3332,4.97883,10.0022,0.0022935
36.7627,0.882294,0.277341,3,15,0,-34.9918,5.00217,9.99978,0.000862465
