# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-40.5718,0.796124,0.667922,2,3,0,42.5545,5.00646,10.0102,0.913305
-41.5424,0.928457,0.667127,2,3,0,41.6176,4.94748,10.0148,0.84672
-41.3137,0.653981,0.848416,2,3,0,42.466,5.02678,9.98942,0.993119
-40.9633,0.852478,0.653748,2,7,0,42.2837,4.96861,10.0081,0.950122
-40.9633,0,7.19198,0,1,1,41.1653,4.96861,10.0081,0.950122
-40.9633,4.16675e-20,1.12258,1,1,0,42.0186,4.96861,10.0081,0.950122
-40.3855,0.99907,0.105809,5,39,0,42.0974,5.38629,9.94795,0.847559
-40.2556,0.98791,0.138738,4,23,0,41.3503,5.19355,9.99264,0.911024
-43.5609,0.873743,0.205457,3,15,0,44.5216,5.17945,9.93614,1.01024
-42.4351,1,0.234552,2,3,0,43.5418,5.19515,9.94265,1.0055
-41.0578,1,0.413647,2,7,0,42.6884,5.20232,9.9518,0.97495
-41.1399,0.390599,0.755141,2,3,0,41.655,5.19211,9.96436,1.01342
-41.5414,0.999274,0.205126,4,15,0,41.8836,5.07466,9.98968,0.802433
-41.0547,0.941515,0.383361,2,3,0,42.4006,5.04659,9.99657,0.825923
-41.0547,0.052082,0.601361,1,1,0,42.6538,5.04659,9.99657,0.825923
-41.397,0.99879,0.0574575,6,63,0,41.7556,4.9986,9.99504,0.837426
-40.5777,0.996045,0.109424,3,15,0,42.2486,5.08685,10.0056,0.86757
-40.1418,0.992781,0.206224,4,15,0,41.2103,5.16356,9.98925,0.949541
-39.6875,0.9922,0.383014,2,7,0,41.1174,5.18262,9.97706,0.916664
-39.6875,0.0529043,0.705643,1,3,0,41.6447,5.18262,9.97706,0.916664
-40.3053,0.997546,0.0732472,5,47,0,40.6723,5.27368,9.96909,0.974383
-40.0875,1,0.138012,3,7,0,40.3613,5.21353,9.96644,0.960619
-42.128,0.949271,0.259701,3,7,0,42.7946,5.40469,9.94926,1.04785
-40.3728,0.762641,0.416168,2,7,0,43.8535,5.1915,9.95737,0.933921
-41.8913,0.782365,0.381328,2,7,0,43.274,5.18377,9.998,1.02326
-41.4545,0.979644,0.370918,3,15,0,42.9655,5.06843,10.0186,0.874919
-40.8676,0.630076,0.640689,3,7,0,41.9317,5.10603,9.97212,0.846469
-40.2845,1,0.400493,3,7,0,40.8574,5.27897,9.9784,0.872355
-40.2845,9.37799e-08,0.726307,1,1,0,42.0627,5.27897,9.9784,0.872355
-40.012,0.998302,0.0767437,5,63,0,42.965,5.15537,9.982,0.85236
-40.5154,0.979067,0.1391,4,31,0,46.6339,5.24961,9.95517,0.83255
-40.1713,0.95208,0.236613,2,3,0,41.1737,5.28611,9.95258,0.847028
-40.6088,0.795125,0.370285,4,15,0,41.9482,5.02795,9.98778,0.903558
-43.452,0.728259,0.37422,2,3,0,43.7007,5.19516,10.0187,0.904001
-40.4915,0.999157,0.315334,3,15,0,43.906,5.37127,9.93797,0.96166
-40.6473,0.799452,0.552767,1,3,0,41.4278,5.29014,9.93873,0.930525
-43.273,0.720415,0.56313,2,3,0,43.7403,5.24637,9.94396,1.07823
-42.94,0.970323,0.465105,3,15,0,43.808,5.31271,9.93583,1.06733
-42.3375,0.571326,0.743308,2,7,0,43.9823,5.56672,9.90538,0.994191
-43.454,0.883039,0.416408,3,7,0,45.0314,5.52983,9.89395,0.856623
-40.1944,0.936098,0.527431,2,3,0,43.303,5.36252,9.93798,0.881732
-40.1944,0.0678651,0.762761,3,7,0,45.946,5.36252,9.93798,0.881732
-40.0931,0.997247,0.119951,4,31,0,40.653,5.20155,9.96234,0.944118
-39.9167,1,0.203595,2,3,0,40.0963,5.21501,9.96586,0.945044
-41.0586,0.988807,0.345194,3,15,0,41.6165,5.04636,10.0009,0.827217
-40.3735,0.948657,0.564715,2,3,0,41.3278,5.08824,10.0039,0.881143
-40.3735,0.0241441,0.830431,3,7,0,43.0962,5.08824,10.0039,0.881143
-41.9736,0.993865,0.125293,5,31,0,43.2606,5.45589,9.94782,1.02202
-41.2402,0.992276,0.206765,3,7,0,42.66,5.21636,9.94908,0.985191
