# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = mixtures_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = mixtures.data.R
# init = 2 (Default)
# random
#   seed = 1979823306
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,sigma_outl,objfrac
# Adaptation terminated
# Step size = 0.277107
# Diagonal elements of inverse mass matrix:
# 0.000204157, 1.49667e-05, 0.00833937, 0.00254537, 0.017493
-324.39,0.408617,0.277107,1,3,0,329.236,4.99734,10.0013,90.0627,0.104394,0.209976
-324.175,0.863681,0.277107,4,15,0,326.78,4.99993,10.0003,90.2998,0.10922,0.206657
-328.199,0.701065,0.277107,4,15,0,330.428,4.99896,10.0019,102.25,0.114927,0.244636
-323.855,0.973471,0.277107,3,15,0,330.666,5.01676,9.99754,102.975,0.10437,0.168409
-323.862,0.973093,0.277107,4,15,0,324.904,5.00879,9.99918,93.3935,0.102549,0.241434
-326.424,0.984629,0.277107,4,15,0,327.95,5.00874,9.99711,78.8796,0.102193,0.227214
-326.067,0.934946,0.277107,4,15,0,327.876,5.02296,9.99615,126.419,0.102938,0.185267
-326.107,0.829834,0.277107,4,15,0,328.087,5.00582,9.99912,78.938,0.104739,0.220639
-323.579,0.997101,0.277107,3,7,0,327.458,5.01222,9.99823,100.123,0.0983451,0.236325
-322.993,0.72101,0.277107,3,7,0,326.626,5.02277,9.99705,97.2395,0.100833,0.224034
-326.058,0.984564,0.277107,3,7,0,327.243,5.03558,9.99451,114.318,0.0978438,0.17917
-329.222,0.956638,0.277107,3,7,0,331.088,5.0481,9.99136,110.507,0.0946701,0.182204
-326.364,0.998024,0.277107,4,15,0,330.803,5.00629,9.99902,99.8017,0.118184,0.220744
-326.13,0.99759,0.277107,4,15,0,330.446,5.00572,9.99842,90.221,0.115255,0.178191
-328.093,0.973604,0.277107,4,15,0,330.105,5.02125,9.99648,87.5197,0.120598,0.19366
-323.236,0.999756,0.277107,3,7,0,328.806,5.01797,9.9966,99.0945,0.108219,0.180555
-324.596,0.988314,0.277107,4,15,0,325.41,5.0022,9.99888,88.3394,0.109495,0.18331
-328.692,0.71928,0.277107,4,15,0,330.57,5.02443,9.99391,118.774,0.0933236,0.220107
-324.627,1,0.277107,3,7,0,328.755,5.02727,9.99673,108.426,0.0974201,0.205293
-322.976,0.897475,0.277107,3,7,0,325.654,5.009,9.99683,99.8742,0.101734,0.201821
-322.922,0.996002,0.277107,4,15,0,323.553,5.01225,9.99827,103.772,0.103222,0.185598
-323.595,0.939166,0.277107,4,15,0,324.361,5.0143,9.99854,109.389,0.101702,0.21927
-328.994,0.854769,0.277107,3,7,0,330.316,4.99733,10.0017,120.001,0.0945033,0.21205
-330.402,0.802408,0.277107,3,7,0,333.468,4.99053,10.0012,114.817,0.0895917,0.206085
-330.304,1,0.277107,4,15,0,331.757,5.04636,9.99212,87.7921,0.12183,0.208508
-324.42,0.999603,0.277107,4,15,0,331.632,5.03791,9.99333,94.4644,0.097935,0.205667
-324.83,0.947909,0.277107,4,15,0,325.631,4.99383,9.99955,106.972,0.110011,0.20813
-324.888,0.96192,0.277107,4,15,0,326.412,5.03712,9.9932,90.8218,0.0978299,0.196775
-325.929,0.998764,0.277107,4,15,0,327.866,4.99103,10.0013,107.388,0.102725,0.249196
-325.768,0.738229,0.277107,4,15,0,332.388,5.02531,9.99787,88.8785,0.107786,0.177974
-323.895,0.9964,0.277107,4,15,0,325.897,5.0132,9.99809,108.385,0.100025,0.237557
-323.423,0.971618,0.277107,4,15,0,326.776,5.02101,9.99554,93.4932,0.102118,0.177931
-323.579,0.944742,0.277107,4,15,0,324.874,5.00816,9.99793,107.835,0.103873,0.236097
-324.271,0.871235,0.277107,4,15,0,326.417,5.02513,9.99481,109.944,0.098915,0.187636
-323.824,0.971439,0.277107,3,7,0,325.726,5.02216,9.99502,105.709,0.099361,0.18764
-326.192,0.864199,0.277107,3,7,0,327.912,5.03025,9.99465,106.878,0.0926245,0.19698
-325.38,0.999695,0.277107,4,15,0,328.7,5.03488,9.99414,100.418,0.113724,0.231305
-322.893,0.997411,0.277107,4,15,0,326.216,5.00656,9.9986,104.223,0.101521,0.190828
-322.581,0.899509,0.277107,3,15,0,324.476,5.01053,9.99699,101.392,0.102313,0.206559
-322.748,0.956004,0.277107,4,15,0,323.196,5.01408,9.99838,95.1325,0.100834,0.211571
-322.875,0.955913,0.277107,4,15,0,328.764,5.0043,9.99891,101.761,0.107351,0.208464
-323.394,0.694366,0.277107,4,15,0,326.592,5.03407,9.99509,94.8638,0.100786,0.210953
-327.406,0.856075,0.277107,3,7,0,329.311,5.05921,9.9901,96.4078,0.107371,0.221276
-323.249,0.959603,0.277107,4,15,0,331.651,5.01184,9.99779,104.282,0.0984016,0.227356
-324.019,0.853697,0.277107,4,15,0,325.58,5.02764,9.99489,86.4413,0.105249,0.18789
-322.757,0.998649,0.277107,4,15,0,324.624,5.00571,9.9991,102.788,0.101006,0.207697
-323.864,0.943647,0.277107,4,15,0,325.834,5.03243,9.99464,106.291,0.108708,0.222021
-324.549,0.900986,0.277107,4,15,0,325.77,4.99281,9.9997,88.4067,0.102903,0.199029
-323.752,0.942955,0.277107,4,15,0,325.832,5.03273,9.99464,111.063,0.104025,0.19915
-324.052,0.949446,0.277107,4,15,0,326.07,4.9938,10.001,97.9106,0.108003,0.196714
-323.789,0.915231,0.277107,3,15,0,325.589,5.00552,9.99783,99.8277,0.110988,0.215023
-323.178,0.963974,0.277107,3,7,0,324.76,5.01,9.9987,98.8761,0.109714,0.210294
-323.824,0.952543,0.277107,4,15,0,325.337,5.02689,9.99525,108.656,0.0977222,0.211685
-326.678,0.467716,0.277107,3,7,0,329.308,5.02565,9.99385,115.885,0.0965797,0.193456
-324.947,0.999787,0.277107,4,15,0,327.853,5.02678,9.99438,112.31,0.0981288,0.22497
-324.602,1,0.277107,4,15,0,326.607,5.01266,9.99663,86.6784,0.110176,0.191192
-325.832,0.700218,0.277107,4,15,0,329.426,5.01393,9.99615,119.759,0.0996318,0.1825
-325.171,0.986934,0.277107,4,15,0,327.716,5.01696,9.99603,80.7552,0.104167,0.215094
-322.737,0.99642,0.277107,3,7,0,326.143,5.00589,9.99924,96.4129,0.100791,0.204893
-323.769,0.993806,0.277107,3,15,0,325.39,5.00974,9.99747,89.1371,0.104341,0.177746
-323.472,0.997986,0.277107,4,15,0,325.555,5.0341,9.99375,98.9895,0.100765,0.217772
-323.525,0.836694,0.277107,4,15,0,325.504,5.008,9.99903,88.0201,0.105588,0.194936
-323.807,0.612137,0.277107,3,11,0,327.186,5.0135,9.99936,92.2748,0.104106,0.20739
-322.664,0.959082,0.277107,4,15,0,324.823,5.01761,9.99683,104.14,0.103462,0.187523
-322.933,0.946792,0.277107,3,11,0,329.722,5.00968,9.99815,103.203,0.10172,0.231124
-324.379,0.819769,0.277107,4,15,0,325.697,5.00688,10.0002,99.3271,0.0989544,0.192389
-324.034,1,0.277107,4,15,0,325.106,5.02367,9.99758,90.6417,0.107613,0.195404
-326.145,0.799184,0.277107,4,15,0,327.232,5.03286,9.99712,95.94,0.101011,0.231736
-323.029,0.994556,0.277107,4,15,0,326.796,5.00459,9.99923,97.2005,0.103257,0.184712
-324.631,0.955431,0.277107,3,7,0,324.994,4.99681,9.99923,105.168,0.108512,0.181335
-323.101,0.999691,0.277107,4,15,0,325.705,4.99802,9.99987,95.5274,0.102254,0.213438
-324.159,0.928345,0.277107,4,15,0,329.915,4.99771,10.0001,89.0869,0.100153,0.224589
-324.912,0.934589,0.277107,4,15,0,327.348,5.02252,9.99574,96.8575,0.109717,0.253952
-326.056,0.990396,0.277107,4,15,0,328.221,5.00435,9.99925,96.9124,0.0913841,0.216162
-326.831,0.997618,0.277107,4,15,0,328.231,5.02937,9.99472,102.048,0.119162,0.198122
-324.539,0.830604,0.277107,3,7,0,328.893,5.02197,9.99396,98.8104,0.104728,0.188127
-324.277,0.999207,0.277107,4,15,0,325.359,5.02433,9.99414,108.416,0.102858,0.192507
-323.702,0.650305,0.277107,4,15,0,329.621,5.01096,9.99882,110.274,0.101926,0.224423
-323.868,0.735219,0.277107,4,15,0,326.353,5.01447,9.99671,84.324,0.104937,0.209352
-324.271,0.921438,0.277107,3,7,0,324.623,5.01188,9.99628,85.324,0.104655,0.208581
-327.763,0.975332,0.277107,3,15,0,329.316,5.03219,9.9956,79.4456,0.111679,0.187088
-329.183,0.885336,0.277107,4,15,0,332.062,5.00038,9.99783,131.48,0.0990853,0.232224
-328.136,0.996709,0.277107,3,15,0,329.626,5.00433,9.99894,133.146,0.100247,0.233373
-327.005,1,0.277107,4,15,0,329.573,5.00686,9.99844,132.47,0.103058,0.203868
-326.195,0.984965,0.277107,3,7,0,328.335,5.02327,9.99657,127.923,0.10129,0.200861
-323.934,0.99488,0.277107,4,15,0,327.758,4.99907,9.99993,107.678,0.105634,0.227701
-323.479,0.969076,0.277107,4,15,0,325.183,5.00399,9.99941,94.4596,0.0987729,0.226121
-325.308,0.947857,0.277107,4,15,0,326.529,5.02374,9.99638,90.9915,0.09731,0.254003
-323.718,0.904374,0.277107,4,15,0,326.658,5.01038,9.99647,105.414,0.107889,0.214206
